scorer,projected_goals
Attacker_1_IR Iran,4
Cristiano Ronaldo,3
Harry Kane,3
Nick Woltemade,3
Memphis Depay,3
Frank Lampard,3
Lautaro Martínez,2
Carlos Tevez,2
Attacker_2_IR Iran,2
Attacker_3_IR Iran,2
Neymar,2
Saeed Al-Owairan,2
Edvin Kuč,2
Mario Mandžukić,2
Andrej Kramarić,2
Attacker_1_Czechia,2
Attacker_2_Czechia,2
Michy Batshuayi,2
Bruno Petković,2
Ramiz Zerrouki,1
Éver Banega,1
Manuel Ferreira,1
Alfred Körner,1
Nacer Bouiche,1
Ahmed Touba,1
Lakhdar Belloumi,1
Carlos Peucelle,1
Gonzalo Higuaín,1
Marcel Sabitzer,1
Manfred Linzmaier,1
Manuel Fleitas Solich,1
Hakan Çalhanoğlu,1
Tim Cahill,1
Clint Dempsey,1
Sebastian Lletget,1
Rubén Aveiro,1
Fatih Tekke,1
Ozan Tufan,1
Cengiz Ünder,1
Arda Turan,1
Eddie Johnson,1
Tuncay Şanlı,1
Daniel Veyt,1
Paul Van Himst,1
Mohamed Zidan,1
Mohamed Magdy,1
Jonathan David,1
Edin Džeko,1
Sejad Salihović,1
Ali Gerba,1
Abdulaziz Hatem,1
Valentin Stocker,1
Ruben Vargas,1
Max Abegglen,1
Kubilay Türkyilmaz,1
Marcel Koller,1
Rivaldo,1
Antony,1
Pelé,1
Garrincha,1
Roberto Dinamite,1
Arthur Melo,1
Sávio,1
Didi,1
Willian,1
Nílton Santos,1
Djalminha,1
Abdelkrim Merry,1
Abdeljalil Hadda,1
Alan Gilzean,1
Jim Bett,1
Soufiane Alloudi,1
Attacker_1_Cabo Verde,1
Nicolás Olivera,1
Dario Pereyra,1
Dani Olmo,1
Oihan Sancet,1
Fernando Hierro,1
Marco Asensio,1
Pirri,1
Maximiliano Araújo,1
Vicente Guillot,1
Luis Suárez,1
Radamel Falcao,1
Juan Cuadrado,1
Gabriel Jaime Gómez Jaramillo,1
Pauleta,1
Gonçalo Ramos,1
Attacker_1_Congo DR,1
Sanzhar Tursunov,1
João Domingos Pinto,1
Sérgio Conceição,1
José Coelho,1
Davor Vugrinec,1
Kristijan Jakić,1
Mladen Mladenović,1
Joško Gvardiol,1
Les Ferdinand,1
Teddy Sheringham,1
Conor Gallagher,1
Gary Lineker,1
Raheem Sterling,1
David Platt,1
Prince Polley,1
Abedi Pele,1
Oliver Bierhoff,1
Michael Ballack,1
Max Kruse,1
Lothar Matthäus,1
Attacker_1_Côte d'Ivoire,1
Attacker_2_Côte d'Ivoire,1
Attacker_3_Côte d'Ivoire,1
Attacker_4_Côte d'Ivoire,1
Attacker_5_Côte d'Ivoire,1
Attacker_6_Côte d'Ivoire,1
Ariel Graziani,1
Agustín Delgado,1
Ridle Baku,1
Jürgen Klinsmann,1
Ángel Mena,1
Álex Aguinaga,1
İlkay Gündoğan,1
Manuel Friedrich,1
Henry Martín,1
Jared Borgetti,1
Omar Bravo,1
Manuel Rosas,1
Jonny Magallón,1
Katlego Mphela,1
Mark Williams,1
Olivier Giroud,1
Georges Lech,1
Antoine Griezmann,1
Thadée Cisowski,1
Erik Hagen,1
Tore André Flo,1
Joshua King,1
Kévin Boma,1
El Hadji Diouf,1
Khalilou Fadiga,1
Noud van Melis,1
Klaas-Jan Huntelaar,1
Ryoichi Maeda,1
Xavi Simons,1
Hans Persson,1
Rob de Wit,1
Hugo Hovenkamp,1
Wesley Sneijder,1
Cody Gakpo,1
Miguel Angel Lauri,1
Roberto Cherro,1
Krépin Diatta,1
Attacker_4_IR Iran,1
Gabriel Jesus,1
Francisco Trincão,1
Rúben Dias,1
Nani,1
Danny Welbeck,1
Luis García Postigo,1
Eric Wynalda,1
Brian McBride,1
Timothy Weah,1
Jozy Altidore,1
John Bosman,1
Mohamed Samadi,1
Óscar Míguez,1
Jhon Córdoba,1
Humberto Maschio,1
Fabian Schär,1
Cláudio Ibrahim Vaz Leal,1
Diego Costa,1
Alan Ball Jr.,1
Christian Benteke,1
Dries Mertens,1
Phillip Cocu,1
Ivica Olić,1
Ivan Perišić,1
Julio Salinas,1
Fernando Torres,1
Michael Owen,1
Bryan Robson,1
Henri Coppens,1
Arthur Theate,1
Jan Vertonghen,1
Mbo Mpenza,1
Eduardo da Silva,1
Dado Pršo,1
Mladen Petrić,1
Pablo Aimar,1
Ray Pointer,1
Tony Woodcock,1
Dennis Praet,1
