date,home_team,away_team,home_score,away_score,tournament,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,streak_diff,opp_rank_diff,target
2022-12-20,Cambodia,Philippines,3.0,2.0,AFF Championship,43.0,155.5,-166.49000000000012,0,0.0,0.0,0.0,1
2022-12-20,Brunei Darussalam,Thailand,0.0,5.0,AFF Championship,79.0,150.5,-275.3800000000001,0,0.0,0.0,0.0,0
2022-12-21,Myanmar,Malaysia,0.0,1.0,AFF Championship,14.0,152.0,-60.43999999999994,0,0.0,0.0,0.0,0
2022-12-21,Laos,Vietnam,0.0,6.0,AFF Championship,91.0,141.5,-323.1200000000001,0,0.0,0.0,0.0,0
2022-12-23,Oman,Syria,2.0,1.0,Friendly,-15.0,82.5,69.77999999999997,1,0.0,0.0,0.0,1
2022-12-23,Philippines,Brunei Darussalam,5.0,1.0,AFF Championship,-56.0,162.0,215.1300000000001,0,2.0,0.0,66.0,1
2022-12-23,Indonesia,Cambodia,2.0,1.0,AFF Championship,-26.0,164.0,87.24000000000012,0,-3.0,-3.0,-134.0,1
2022-12-24,Singapore,Myanmar,3.0,2.0,AFF Championship,1.0,159.5,-0.05999999999994543,0,0.0,0.0,-145.0,1
2022-12-24,Malaysia,Laos,5.0,0.0,AFF Championship,-42.0,166.0,161.08999999999992,0,1.0,3.0,63.0,1
2022-12-26,Brunei Darussalam,Indonesia,0.0,7.0,AFF Championship,39.0,170.5,-135.8800000000001,0,-1.5,-3.0,-54.5,0
2022-12-26,Thailand,Philippines,4.0,0.0,AFF Championship,-23.0,122.5,60.25,0,1.5,1.5,6.5,1
2022-12-27,Laos,Singapore,0.0,2.0,AFF Championship,27.0,173.5,-100.59000000000003,0,-3.0,-3.0,-38.5,0
2022-12-27,Vietnam,Malaysia,3.0,0.0,AFF Championship,-49.0,120.5,162.0300000000002,0,3.0,0.0,14.0,1
2022-12-29,Indonesia,Thailand,1.0,1.0,AFF Championship,40.0,131.0,-139.5,0,0.0,0.0,21.5,0
2022-12-29,Cambodia,Brunei Darussalam,5.0,1.0,AFF Championship,-13.0,183.5,48.639999999999986,0,1.6666666666666667,1.5,10.5,1
2022-12-30,Iraq,Kuwait,1.0,0.0,Friendly,-80.0,108.0,285.75,1,0.0,0.0,0.0,1
2022-12-30,Oman,Syria,1.0,0.0,Friendly,-15.0,82.5,69.77999999999997,1,1.0,3.0,15.0,1
2022-12-30,United Arab Emirates,Lebanon,1.0,0.0,Friendly,-30.0,85.0,130.01,1,0.0,0.0,0.0,1
2022-12-30,Myanmar,Laos,2.0,2.0,AFF Championship,-28.0,173.0,100.64999999999998,0,1.0,0.0,18.833333333333343,0
2022-12-30,Singapore,Vietnam,0.0,0.0,AFF Championship,64.0,128.0,-222.5300000000001,0,-2.0,0.0,7.0,0
2023-01-02,Thailand,Cambodia,3.0,1.0,AFF Championship,-66.0,144.0,226.74000000000012,0,0.3333333333333335,0.3333333333333335,0.0,1
2023-01-02,Philippines,Indonesia,1.0,2.0,AFF Championship,-17.0,142.5,79.25,0,-1.0,-1.3333333333333335,0.0,0
2023-01-03,Vietnam,Myanmar,3.0,0.0,AFF Championship,-63.0,127.5,222.47000000000014,0,1.6666666666666667,2.0,0.0,1
2023-01-03,Malaysia,Singapore,4.0,1.0,AFF Championship,-15.0,152.5,60.499999999999886,0,0.33333333333333326,-0.3333333333333335,0.0,1
2023-01-06,Iraq,Oman,0.0,0.0,Gulf Cup,-7.0,71.5,21.15000000000009,0,-0.5,0.0,58.0,0
2023-01-06,Yemen,Saudi Arabia,0.0,2.0,Gulf Cup,105.0,101.5,-414.6100000000001,0,0.0,0.0,0.0,0
