date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rolling_goals,away_rolling_goals,home_rank,away_rank,home_points,away_points,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,target
2022-12-20,Cambodia,Philippines,3.0,2.0,AFF Championship,Phnom Penh,Cambodia,False,0.0,0.0,177.0,134.0,946.66,1113.15,43.0,155.5,-166.49000000000012,0,0.0,1
2022-12-20,Brunei Darussalam,Thailand,0.0,5.0,AFF Championship,Kuala Lumpur,Malaysia,True,0.0,0.0,190.0,111.0,898.02,1173.4,79.0,150.5,-275.3800000000001,0,0.0,0
2022-12-21,Myanmar,Malaysia,0.0,1.0,AFF Championship,Yangon,Myanmar,False,0.0,0.0,159.0,145.0,1006.16,1066.6,14.0,152.0,-60.43999999999994,0,0.0,0
2022-12-21,Laos,Vietnam,0.0,6.0,AFF Championship,Vientiane,Laos,False,0.0,0.0,187.0,96.0,905.51,1228.63,91.0,141.5,-323.1200000000001,0,0.0,0
2022-12-23,Oman,Syria,2.0,1.0,Friendly,Dubai,United Arab Emirates,True,0.0,0.0,75.0,90.0,1321.24,1251.46,-15.0,82.5,69.77999999999997,1,0.0,1
2022-12-23,Philippines,Brunei Darussalam,5.0,1.0,AFF Championship,Manila,Philippines,False,2.0,0.0,134.0,190.0,1113.15,898.02,-56.0,162.0,215.1300000000001,0,2.0,1
2022-12-23,Indonesia,Cambodia,2.0,1.0,AFF Championship,Jakarta,Indonesia,False,0.0,3.0,151.0,177.0,1033.9,946.66,-26.0,164.0,87.24000000000012,0,-3.0,1
2022-12-24,Singapore,Myanmar,3.0,2.0,AFF Championship,Singapore,Singapore,False,0.0,0.0,160.0,159.0,1006.1,1006.16,1.0,159.5,-0.05999999999994543,0,0.0,1
2022-12-24,Malaysia,Laos,5.0,0.0,AFF Championship,Kuala Lumpur,Malaysia,False,1.0,0.0,145.0,187.0,1066.6,905.51,-42.0,166.0,161.08999999999992,0,1.0,1
2022-12-26,Brunei Darussalam,Indonesia,0.0,7.0,AFF Championship,Kuala Lumpur,Malaysia,True,0.5,2.0,190.0,151.0,898.02,1033.9,39.0,170.5,-135.8800000000001,0,-1.5,0
2022-12-26,Thailand,Philippines,4.0,0.0,AFF Championship,Pathum Thani,Thailand,False,5.0,3.5,111.0,134.0,1173.4,1113.15,-23.0,122.5,60.25,0,1.5,1
2022-12-27,Laos,Singapore,0.0,2.0,AFF Championship,Vientiane,Laos,False,0.0,3.0,187.0,160.0,905.51,1006.1,27.0,173.5,-100.59000000000003,0,-3.0,0
2022-12-27,Vietnam,Malaysia,3.0,0.0,AFF Championship,Hanoi,Vietnam,False,6.0,3.0,96.0,145.0,1228.63,1066.6,-49.0,120.5,162.0300000000002,0,3.0,1
2022-12-29,Indonesia,Thailand,1.0,1.0,AFF Championship,Jakarta,Indonesia,False,4.5,4.5,151.0,111.0,1033.9,1173.4,40.0,131.0,-139.5,0,0.0,0
2022-12-29,Cambodia,Brunei Darussalam,5.0,1.0,AFF Championship,Phnom Penh,Cambodia,False,2.0,0.3333333333333333,177.0,190.0,946.66,898.02,-13.0,183.5,48.639999999999986,0,1.6666666666666667,1
2022-12-30,Iraq,Kuwait,1.0,0.0,Friendly,Basra,Iraq,False,0.0,0.0,68.0,148.0,1342.39,1056.64,-80.0,108.0,285.75,1,0.0,1
2022-12-30,Oman,Syria,1.0,0.0,Friendly,Dubai,United Arab Emirates,True,2.0,1.0,75.0,90.0,1321.24,1251.46,-15.0,82.5,69.77999999999997,1,1.0,1
2022-12-30,United Arab Emirates,Lebanon,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,False,0.0,0.0,70.0,100.0,1338.48,1208.47,-30.0,85.0,130.01,1,0.0,1
2022-12-30,Myanmar,Laos,2.0,2.0,AFF Championship,Yangon,Myanmar,False,1.0,0.0,159.0,187.0,1006.16,905.51,-28.0,173.0,100.64999999999998,0,1.0,0
