date,home_team,away_team,rank_diff_inv,rating_diff,form_diff,h_inv_rank,h_squad_rating,h_recent_form,squad_rank_interaction,rating_delta_form,target
2022-12-20,Cambodia,Philippines,-43.0,0,0.0,35.0,70,1.0,2450.0,0.0,1
2022-12-20,Brunei Darussalam,Thailand,-79.0,0,0.0,22.0,70,1.0,1540.0,0.0,0
2022-12-21,Myanmar,Malaysia,-14.0,0,0.0,53.0,70,1.0,3710.0,0.0,0
2022-12-21,Laos,Vietnam,-91.0,0,0.0,25.0,70,1.0,1750.0,0.0,0
2022-12-23,Oman,Syria,15.0,0,0.0,137.0,70,1.0,9590.0,0.0,1
2022-12-23,Philippines,Brunei Darussalam,56.0,0,0.0,78.0,70,0.0,5460.0,0.0,1
2022-12-23,Indonesia,Cambodia,26.0,0,-2.0,61.0,70,1.0,4270.0,0.0,1
2022-12-24,Singapore,Myanmar,-1.0,0,1.0,52.0,70,1.0,3640.0,0.0,1
2022-12-24,Malaysia,Laos,42.0,0,3.0,67.0,70,3.0,4690.0,0.0,1
2022-12-26,Brunei Darussalam,Indonesia,-39.0,0,-3.0,22.0,70,0.0,1540.0,0.0,0
2022-12-26,Thailand,Philippines,23.0,0,1.5,101.0,70,3.0,7070.0,0.0,1
2022-12-27,Laos,Singapore,-27.0,0,-3.0,25.0,70,0.0,1750.0,0.0,0
2022-12-27,Vietnam,Malaysia,49.0,0,0.0,116.0,70,3.0,8120.0,0.0,1
2022-12-29,Cambodia,Brunei Darussalam,13.0,0,1.5,35.0,70,1.5,2450.0,0.0,1
2022-12-29,Indonesia,Thailand,-40.0,0,0.0,61.0,70,3.0,4270.0,0.0,0
2022-12-30,Iraq,Kuwait,80.0,1,0.0,144.0,71,1.0,10224.0,1.0,1
2022-12-30,Oman,Syria,15.0,0,3.0,137.0,70,3.0,9590.0,0.0,1
2022-12-30,United Arab Emirates,Lebanon,30.0,0,0.0,142.0,70,1.0,9940.0,0.0,1
2022-12-30,Myanmar,Laos,28.0,0,0.0,53.0,70,0.0,3710.0,0.0,0
2022-12-30,Singapore,Vietnam,-64.0,0,0.0,52.0,70,3.0,3640.0,0.0,0
2023-01-02,Thailand,Cambodia,66.0,0,0.3333333333333335,101.0,70,2.3333333333333335,7070.0,0.0,1
2023-01-02,Philippines,Indonesia,17.0,0,-1.3333333333333335,78.0,70,1.0,5460.0,0.0,0
2023-01-03,Vietnam,Myanmar,63.0,0,2.0,116.0,70,2.3333333333333335,8120.0,0.0,1
2023-01-03,Malaysia,Singapore,15.0,0,-0.3333333333333335,67.0,70,2.0,4690.0,0.0,1
2023-01-06,Iraq,Oman,7.0,1,0.0,144.0,71,3.0,10224.0,3.0,0
2023-01-06,Yemen,Saudi Arabia,-105.0,-3,0.0,58.0,70,1.0,4060.0,-3.0,0
2023-01-06,Indonesia,Vietnam,-55.0,0,0.0,61.0,70,2.5,4270.0,0.0,0
2023-01-07,Bahrain,United Arab Emirates,-15.0,0,-2.0,127.0,70,1.0,8890.0,0.0,1
2023-01-07,Kuwait,Qatar,-88.0,-2,-1.0,64.0,70,0.0,4480.0,-0.0,0
2023-01-07,Malaysia,Thailand,-34.0,0,-0.25,67.0,70,2.25,4690.0,0.0,1
2023-01-08,Iceland,Estonia,46.0,0,0.0,149.0,70,1.0,10430.0,0.0,0
2023-01-09,Sweden,Finland,33.0,7,0.0,189.0,77,1.0,14553.0,7.0,1
2023-01-09,Oman,Yemen,79.0,0,2.3333333333333335,137.0,70,2.3333333333333335,9590.0,0.0,1
